config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
linear_svm__c_1e-05,linear_svm,1e-05,,4,0.12982456140350876,0.14222222222222222,0.9410370370370371,0.0044444444444444444,0.5955555555555555
rbf_svm__c_1e-07__gamma_0.001,rbf_svm,1e-07,0.001,4,0.13216374269005848,0.13777777777777778,0.9424395061728396,0.0044444444444444444,0.5911111111111111
rbf_svm__c_1e-07__gamma_0.01,rbf_svm,1e-07,0.01,4,0.13216374269005848,0.1288888888888889,0.9519802469135803,0.008888888888888889,0.48444444444444446
rbf_svm__c_1e-06__gamma_0.001,rbf_svm,1e-06,0.001,4,0.13216374269005848,0.13777777777777778,0.9424395061728396,0.0044444444444444444,0.5911111111111111
rbf_svm__c_1e-06__gamma_0.01,rbf_svm,1e-06,0.01,4,0.13216374269005848,0.1288888888888889,0.9519802469135803,0.008888888888888889,0.48444444444444446
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,4,0.13216374269005848,0.13777777777777778,0.9424395061728396,0.0044444444444444444,0.5911111111111111
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,4,0.13216374269005848,0.1288888888888889,0.9519802469135803,0.008888888888888889,0.48444444444444446
logistic_regression__c_1e-07,logistic_regression,1e-07,,5,0.1288888888888889,0.11666666666666667,0.9612037037037037,0.005555555555555556,0.3
logistic_regression__c_1e-06,logistic_regression,1e-06,,5,0.1288888888888889,0.11666666666666667,0.9611728395061728,0.005555555555555556,0.3
logistic_regression__c_1e-05,logistic_regression,1e-05,,5,0.1288888888888889,0.11666666666666667,0.9607098765432099,0.005555555555555556,0.3
linear_svm__c_1e-07,linear_svm,1e-07,,5,0.1288888888888889,0.11666666666666667,0.9612345679012346,0.005555555555555556,0.3
linear_svm__c_1e-06,linear_svm,1e-06,,5,0.1288888888888889,0.11666666666666667,0.9612345679012346,0.005555555555555556,0.3
linear_svm__c_1e-05,linear_svm,1e-05,,5,0.1288888888888889,0.11666666666666667,0.9612345679012346,0.005555555555555556,0.3
rbf_svm__c_1e-07__gamma_0.001,rbf_svm,1e-07,0.001,5,0.13,0.1111111111111111,0.9641666666666666,0.005555555555555556,0.28888888888888886
rbf_svm__c_1e-07__gamma_0.01,rbf_svm,1e-07,0.01,5,0.13777777777777778,0.09444444444444444,0.9784259259259259,0.005555555555555556,0.19444444444444445
rbf_svm__c_1e-06__gamma_0.001,rbf_svm,1e-06,0.001,5,0.13,0.1111111111111111,0.9641666666666666,0.005555555555555556,0.28888888888888886
rbf_svm__c_1e-06__gamma_0.01,rbf_svm,1e-06,0.01,5,0.13777777777777778,0.09444444444444444,0.9784259259259259,0.005555555555555556,0.19444444444444445
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,5,0.13,0.1111111111111111,0.9641666666666666,0.005555555555555556,0.28888888888888886
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,5,0.13777777777777778,0.09444444444444444,0.9784259259259259,0.005555555555555556,0.19444444444444445
