config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
rbf_svm__c_1e-05__gamma_0.1,rbf_svm,1e-05,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_3e-05__gamma_0.001,rbf_svm,3e-05,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_3e-05__gamma_0.003,rbf_svm,3e-05,0.003,2,0.11929824561403508,0.17777777777777778,0.9211851851851852,0.008888888888888889,0.2577777777777778
rbf_svm__c_3e-05__gamma_0.01,rbf_svm,3e-05,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_3e-05__gamma_0.03,rbf_svm,3e-05,0.03,2,0.14035087719298245,0.2222222222222222,0.8798814814814815,0.0044444444444444444,0.27555555555555555
rbf_svm__c_3e-05__gamma_0.1,rbf_svm,3e-05,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_0.0001__gamma_0.001,rbf_svm,0.0001,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_0.0001__gamma_0.003,rbf_svm,0.0001,0.003,2,0.11929824561403508,0.17777777777777778,0.9211851851851852,0.008888888888888889,0.2577777777777778
rbf_svm__c_0.0001__gamma_0.01,rbf_svm,0.0001,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_0.0001__gamma_0.03,rbf_svm,0.0001,0.03,2,0.14035087719298245,0.2222222222222222,0.8798814814814815,0.0044444444444444444,0.27555555555555555
rbf_svm__c_0.0001__gamma_0.1,rbf_svm,0.0001,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_0.0003__gamma_0.001,rbf_svm,0.0003,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_0.0003__gamma_0.003,rbf_svm,0.0003,0.003,2,0.11929824561403508,0.17777777777777778,0.9211851851851852,0.008888888888888889,0.2577777777777778
rbf_svm__c_0.0003__gamma_0.01,rbf_svm,0.0003,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_0.0003__gamma_0.03,rbf_svm,0.0003,0.03,2,0.14035087719298245,0.2222222222222222,0.8798814814814815,0.0044444444444444444,0.27555555555555555
rbf_svm__c_0.0003__gamma_0.1,rbf_svm,0.0003,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_0.001__gamma_0.001,rbf_svm,0.001,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_0.001__gamma_0.003,rbf_svm,0.001,0.003,2,0.11929824561403508,0.17777777777777778,0.9211851851851852,0.008888888888888889,0.2577777777777778
rbf_svm__c_0.001__gamma_0.01,rbf_svm,0.001,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_0.001__gamma_0.03,rbf_svm,0.001,0.03,2,0.14035087719298245,0.2222222222222222,0.8798814814814815,0.0044444444444444444,0.27555555555555555
rbf_svm__c_0.001__gamma_0.1,rbf_svm,0.001,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_0.003__gamma_0.001,rbf_svm,0.003,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_0.003__gamma_0.003,rbf_svm,0.003,0.003,2,0.11929824561403508,0.17777777777777778,0.9211851851851852,0.008888888888888889,0.2577777777777778
rbf_svm__c_0.003__gamma_0.01,rbf_svm,0.003,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_0.003__gamma_0.03,rbf_svm,0.003,0.03,2,0.14035087719298245,0.2222222222222222,0.8798814814814815,0.0044444444444444444,0.27555555555555555
rbf_svm__c_0.003__gamma_0.1,rbf_svm,0.003,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
logistic_regression__c_1e-05,logistic_regression,1e-05,,3,0.11228070175438597,0.09777777777777778,0.9679012345679012,0.008888888888888889,0.21333333333333335
logistic_regression__c_3e-05,logistic_regression,3e-05,,3,0.11228070175438597,0.09777777777777778,0.9674271604938272,0.008888888888888889,0.21333333333333335
logistic_regression__c_0.0001,logistic_regression,0.0001,,3,0.10877192982456141,0.10222222222222223,0.9660839506172839,0.0044444444444444444,0.21777777777777776
logistic_regression__c_0.0003,logistic_regression,0.0003,,3,0.10058479532163743,0.10222222222222223,0.9621728395061728,0.008888888888888889,0.23555555555555555
logistic_regression__c_0.001,logistic_regression,0.001,,3,0.08654970760233918,0.1111111111111111,0.9536987654320987,0.008888888888888889,0.24888888888888888
logistic_regression__c_0.003,logistic_regression,0.003,,3,0.08187134502923976,0.12444444444444444,0.9420049382716049,0.008888888888888889,0.28444444444444444
linear_svm__c_1e-05,linear_svm,1e-05,,3,0.11345029239766082,0.09777777777777778,0.9683753086419753,0.008888888888888889,0.2088888888888889
linear_svm__c_3e-05,linear_svm,3e-05,,3,0.11345029239766082,0.09777777777777778,0.9683753086419753,0.008888888888888889,0.2088888888888889
linear_svm__c_0.0001,linear_svm,0.0001,,3,0.11345029239766082,0.09777777777777778,0.968,0.008888888888888889,0.21333333333333335
linear_svm__c_0.0003,linear_svm,0.0003,,3,0.09239766081871345,0.12,0.9546666666666668,0.0044444444444444444,0.27555555555555555
linear_svm__c_0.001,linear_svm,0.001,,3,0.08304093567251462,0.1288888888888889,0.942241975308642,0.008888888888888889,0.31555555555555553
linear_svm__c_0.003,linear_svm,0.003,,3,0.07368421052631578,0.13333333333333333,0.9295407407407407,0.008888888888888889,0.36
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_1e-05__gamma_0.003,rbf_svm,1e-05,0.003,3,0.11345029239766082,0.09777777777777778,0.9702518518518519,0.008888888888888889,0.2
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_1e-05__gamma_0.03,rbf_svm,1e-05,0.03,3,0.10292397660818714,0.08888888888888889,0.9776,0.008888888888888889,0.21333333333333335
rbf_svm__c_1e-05__gamma_0.1,rbf_svm,1e-05,0.1,3,0.0,0.10666666666666667,0.9751703703703704,0.0044444444444444444,0.25333333333333335
rbf_svm__c_3e-05__gamma_0.001,rbf_svm,3e-05,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_3e-05__gamma_0.003,rbf_svm,3e-05,0.003,3,0.11345029239766082,0.09777777777777778,0.9702518518518519,0.008888888888888889,0.2
rbf_svm__c_3e-05__gamma_0.01,rbf_svm,3e-05,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_3e-05__gamma_0.03,rbf_svm,3e-05,0.03,3,0.10292397660818714,0.08888888888888889,0.9776,0.008888888888888889,0.21333333333333335
rbf_svm__c_3e-05__gamma_0.1,rbf_svm,3e-05,0.1,3,0.0,0.10666666666666667,0.9751703703703704,0.0044444444444444444,0.25333333333333335
rbf_svm__c_0.0001__gamma_0.001,rbf_svm,0.0001,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_0.0001__gamma_0.003,rbf_svm,0.0001,0.003,3,0.11345029239766082,0.09777777777777778,0.9702518518518519,0.008888888888888889,0.2
rbf_svm__c_0.0001__gamma_0.01,rbf_svm,0.0001,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.0001__gamma_0.03,rbf_svm,0.0001,0.03,3,0.10292397660818714,0.08888888888888889,0.9776,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.0001__gamma_0.1,rbf_svm,0.0001,0.1,3,0.0,0.10666666666666667,0.9751703703703704,0.0044444444444444444,0.25333333333333335
rbf_svm__c_0.0003__gamma_0.001,rbf_svm,0.0003,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_0.0003__gamma_0.003,rbf_svm,0.0003,0.003,3,0.11345029239766082,0.09777777777777778,0.9702518518518519,0.008888888888888889,0.2
rbf_svm__c_0.0003__gamma_0.01,rbf_svm,0.0003,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.0003__gamma_0.03,rbf_svm,0.0003,0.03,3,0.10292397660818714,0.08888888888888889,0.9776,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.0003__gamma_0.1,rbf_svm,0.0003,0.1,3,0.0,0.10666666666666667,0.9751703703703704,0.0044444444444444444,0.25333333333333335
rbf_svm__c_0.001__gamma_0.001,rbf_svm,0.001,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_0.001__gamma_0.003,rbf_svm,0.001,0.003,3,0.11345029239766082,0.09777777777777778,0.9702518518518519,0.008888888888888889,0.2
rbf_svm__c_0.001__gamma_0.01,rbf_svm,0.001,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.001__gamma_0.03,rbf_svm,0.001,0.03,3,0.10292397660818714,0.08888888888888889,0.9776,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.001__gamma_0.1,rbf_svm,0.001,0.1,3,0.0,0.10666666666666667,0.9751703703703704,0.0044444444444444444,0.25333333333333335
rbf_svm__c_0.003__gamma_0.001,rbf_svm,0.003,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_0.003__gamma_0.003,rbf_svm,0.003,0.003,3,0.11345029239766082,0.09777777777777778,0.9702518518518519,0.008888888888888889,0.2
rbf_svm__c_0.003__gamma_0.01,rbf_svm,0.003,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.003__gamma_0.03,rbf_svm,0.003,0.03,3,0.10292397660818714,0.08888888888888889,0.9776,0.008888888888888889,0.21333333333333335
rbf_svm__c_0.003__gamma_0.1,rbf_svm,0.003,0.1,3,0.0,0.10666666666666667,0.9751703703703704,0.0044444444444444444,0.25333333333333335
logistic_regression__c_1e-05,logistic_regression,1e-05,,4,0.12982456140350876,0.14222222222222222,0.9406419753086419,0.0044444444444444444,0.5955555555555555
logistic_regression__c_3e-05,logistic_regression,3e-05,,4,0.12982456140350876,0.14222222222222222,0.9401086419753086,0.008888888888888889,0.5955555555555555
logistic_regression__c_0.0001,logistic_regression,0.0001,,4,0.12748538011695906,0.14222222222222222,0.9379950617283951,0.008888888888888889,0.6044444444444445
logistic_regression__c_0.0003,logistic_regression,0.0003,,4,0.12046783625730995,0.15555555555555556,0.9332740740740741,0.008888888888888889,0.6088888888888889
logistic_regression__c_0.001,logistic_regression,0.001,,4,0.10526315789473684,0.17333333333333334,0.9240493827160494,0.008888888888888889,0.6444444444444445
logistic_regression__c_0.003,logistic_regression,0.003,,4,0.09239766081871345,0.19555555555555557,0.9118222222222223,0.008888888888888889,0.6488888888888888
linear_svm__c_1e-05,linear_svm,1e-05,,4,0.12982456140350876,0.14222222222222222,0.9410370370370371,0.0044444444444444444,0.5955555555555555
linear_svm__c_3e-05,linear_svm,3e-05,,4,0.12982456140350876,0.14222222222222222,0.9410370370370371,0.0044444444444444444,0.5955555555555555
linear_svm__c_0.0001,linear_svm,0.0001,,4,0.13099415204678364,0.14222222222222222,0.9400888888888889,0.008888888888888889,0.5955555555555555
linear_svm__c_0.0003,linear_svm,0.0003,,4,0.1111111111111111,0.17333333333333334,0.9239506172839507,0.0044444444444444444,0.64
linear_svm__c_0.001,linear_svm,0.001,,4,0.0935672514619883,0.19111111111111112,0.9122962962962964,0.008888888888888889,0.6577777777777778
linear_svm__c_0.003,linear_svm,0.003,,4,0.07719298245614035,0.20444444444444446,0.8949333333333334,0.0044444444444444444,0.7822222222222223
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,4,0.13216374269005848,0.13777777777777778,0.9424395061728396,0.0044444444444444444,0.5911111111111111
rbf_svm__c_1e-05__gamma_0.003,rbf_svm,1e-05,0.003,4,0.13216374269005848,0.13777777777777778,0.9451654320987654,0.008888888888888889,0.5688888888888889
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,4,0.13216374269005848,0.1288888888888889,0.9519802469135803,0.008888888888888889,0.48444444444444446
rbf_svm__c_1e-05__gamma_0.03,rbf_svm,1e-05,0.03,4,0.10526315789473684,0.12444444444444444,0.9575111111111112,0.008888888888888889,0.5288888888888889
rbf_svm__c_1e-05__gamma_0.1,rbf_svm,1e-05,0.1,4,0.0,0.12444444444444444,0.9575111111111112,0.008888888888888889,0.5111111111111111
